Country,Total Infected,GDP 2018,Crime Index,Population 2020,Smoking 2016,Females 2018,Median Age
Denmark,1718,355675329085.952,24.72,5792.202,19.1,50.2742027259115,42.2
Dominican Republic,312,85555390387.0355,60.62,10847.91,13.7,50.007796071702,28.1
Ecuador,1082,108398058000.0,48.91,17643.054,7.1,49.9706251782698,27.7
El Salvador,5,26057000000.0,68.63,6486.205,9.9,53.11400243585629,27.1
Estonia,369,30732144528.9795,22.17,1326.535,31.3,52.8584268202066,42.7
Ethiopia,12,84355604752.5299,47.46,114963.588,4.4,49.978888418806704,17.9
Fiji,4,5536759658.87012,60.52,896.445,22.6,49.3005014205028,28.9
Finland,792,276743120515.764,22.75,5540.72,20.4,50.72075848538321,42.5
France,22622,2777535239277.98,46.45,65273.511,32.7,51.584240481133605,41.4
Georgia,70,17599660629.0202,20.18,3989.167,28.8,52.29123750357861,38.1
Germany,32986,3947620162502.96,34.6,83783.942,30.6,50.6603673700529,47.1
Ghana,53,65556464048.1539,51.57,31072.94,3.9,49.32582970438379,21.1
Greece,743,218031844583.994,39.29,10423.054,43.4,50.916201905221,44.5
Honduras,30,23969890430.7882,75.84,9904.607,2.0,50.049340168466905,23.0
Hungary,187,157882912778.254,35.41,9660.351,30.6,52.4324280334941,42.3
Iceland,648,25878475760.1131,23.15,341.243,14.7,49.8117085224168,36.5
India,536,2718732231257.57,42.38,1380004.385,11.5,48.0235396426684,27.9
Indonesia,686,1042173300625.55,46.26,273523.615,39.4,49.6438821889217,30.2
Ireland,1329,382487490532.479,46.18,4937.786,24.3,50.4255094845201,36.8
Israel,1930,370587977153.58295,30.71,8655.535,25.2,50.2981265779531,29.9
Italy,69176,2083864259622.65,44.35,60461.826,23.7,51.376669625565206,45.5
Jamaica,21,15713908816.1463,65.26,2961.167,16.8,50.339829626901206,26.0
Japan,1193,4971323079771.87,15.91,126476.461,22.1,51.1592591291078,47.3
Kazakhstan,72,179339994859.38397,64.23,18776.707,24.0,51.5114836468188,30.6
Kenya,25,87908262519.9164,62.38,53771.296,10.7,50.3160203897178,19.7
South Korea,9037,1619423701169.63,29.24,51269.185,23.3,49.9168817920843,41.8
Kuwait,191,140645364238.411,35.61,4270.571,22.5,39.5481706247096,29.3
Latvia,197,34409229177.9105,36.6,1886.198,37.0,54.0101666562093,43.6
Lebanon,318,56639155555.5556,43.38,6825.445,33.8,49.705805515578,30.5
Lithuania,209,53429066429.1251,34.82,2722.289,28.8,53.791958647327796,43.7
Luxembourg,1099,70885325883.0941,30.17,625.978,23.5,49.53925897485121,39.3
Malaysia,1624,358581943446.259,60.66,32365.999,21.5,48.578520581984904,28.5
Maldives,13,5327457149.72581,53.83,540.544,28.3,37.2649814622342,28.2
Malta,110,14553422928.8831,37.73,441.543,25.5,49.8733082150459,41.8
Mauritius,42,14220348672.7333,47.34,1271.768,21.6,50.577106402858604,35.3
Mexico,367,1220699479845.98,52.51,128932.753,14.0,51.08928083193911,28.3
Moldova,125,11443671435.9024,45.7,4033.963,24.2,52.035563123928,36.7
Mongolia,10,13066749138.3261,57.76,3278.29,25.6,50.6695447058148,28.3
Montenegro,47,5504166666.66667,39.67,628.066,45.9,50.5590129387722,40.7
Morocco,170,117921394402.361,49.53,36910.56,23.4,50.40384729128179,29.3
Namibia,7,14521711633.9533,68.14,2540.905,21.4,51.55369031572929,21.2
Nepal,2,29040398982.3466,35.7,29136.808,22.8,54.535343329259604,24.1
Netherlands,5580,913658465709.125,28.54,17134.872,25.8,50.220943564781294,42.6
New Zealand,155,204923917869.355,40.89,4822.233,16.0,50.8377693974718,37.9
Nigeria,44,397269616080.90796,64.64,206139.589,5.8,49.3361135462707,18.4
Norway,2863,434166615431.909,33.51,5421.241,20.2,49.5246311324926,39.2
Oman,84,79276723016.9051,21.55,5106.626,11.1,34.0140835154787,25.6
Pakistan,972,314588210501.063,44.58,220892.34,20.1,48.5380747169765,23.8
Panama,345,65055100000.0,45.47,4314.767,6.1,49.9053836510993,29.2
Papua New Guinea,1,23497607690.1178,80.26,8947.024,36.3,48.9627278731314,23.1
Peru,416,222044970486.21698,64.58,32971.854,4.8,50.3377554939133,28.0
Philippines,552,330910343610.956,41.09,109581.078,24.3,49.741657385181504,23.5
Poland,901,585663814824.044,29.67,37846.611,28.0,51.5307073794516,40.7
Portugal,2362,240674524464.24,30.11,10196.709,22.7,52.711961710545204,42.2
Qatar,526,191362087912.088,12.0,2881.053,20.6,24.4952873836765,33.2
Romania,794,239552516744.469,27.84,19237.691,29.7,51.343743063071,41.1
Saudi Arabia,767,786521831571.957,28.22,34813.871,15.6,42.445847976176,27.5
Serbia,303,50597289146.7041,37.63,8737.371,38.9,51.002522964154,42.6
Singapore,558,364156657769.87,27.7,5850.342,16.5,47.6581254061005,34.6
Slovenia,480,54007972106.4629,22.01,2078.938,22.5,50.2452070327013,44.5
South Africa,554,368288939768.322,77.02,59308.69,20.3,50.694150384859505,27.1
Spain,39885,1419041949909.82,31.07,46754.778,29.3,50.8966413132559,42.7
Sri Lanka,102,88900770857.6351,40.15,21413.249,13.0,51.966817656801396,32.8
Sweden,2286,556086488936.559,47.21,10099.265,18.8,49.9457761669857,41.2
Switzerland,9877,705140354166.312,21.18,8654.622,25.7,50.427124662223704,42.4
Tanzania,12,58001200572.3965,59.83,59734.218,14.8,50.0510109095796,17.7
Thailand,827,504992757704.997,41.29,69799.978,19.9,51.2687046149695,37.7
Tunisia,114,39871132267.9361,40.64,11818.619,32.7,50.43715185976421,31.6
Turkey,1872,771350330455.2671,39.86,84339.067,27.2,50.6778132013215,30.9
United States,53740,20544343456936.5,46.73,331002.651,21.8,50.5200146539124,38.1
Uganda,9,27461440192.3549,56.47,45741.007,10.0,50.776078896428096,15.8
Ukraine,97,130832374404.88199,49.04,43733.762,28.9,53.687750696908,40.6
United Arab Emirates,248,414178942592.479,15.52,9890.402,28.9,30.636687950097603,30.3
United Kingdom,8164,2855296731521.96,43.64,67886.011,22.3,50.63527456075789,40.5
Uruguay,162,59596885024.3487,52.33,3473.73,16.8,51.7215426942936,35.0
Vietnam,134,245213686369.15698,48.22,97338.579,22.8,50.0964096241893,30.5
Zimbabwe,3,31000519447.175,53.84,14862.924,15.8,52.356752065197604,20.0
